Name;Type;Latitude;Longitude;RSSI;SNR
device_1_dummy;LoRaRAW;60,99601;24,46423;-17;7;15.6.2023 18.25.43
device_1_dummy;LoRaRAW;60,99601;24,46423;-17;5;15.6.2023 18.25.45
device_1_dummy;LoRaRAW;60,99601;24,46423;-16;7;15.6.2023 18.25.47
device_1_dummy;LoRaRAW;60,99601;24,46423;-29;7;15.6.2023 18.25.49
device_1_dummy;LoRaRAW;60,99601;24,46423;-38;6;15.6.2023 18.25.51
device_1_dummy;LoRaRAW;60,99601;24,46423;-36;7;15.6.2023 18.25.52
device_1_dummy;LoRaRAW;60,99601;24,46423;-41;6;15.6.2023 18.25.54
device_1_dummy;LoRaRAW;60,99601;24,46423;-18;5;15.6.2023 18.29.22
device_1_dummy;LoRaRAW;60,99601;24,46423;-17;6;15.6.2023 18.29.24
device_1_dummy;LoRaRAW;60,99601;24,46423;-24;5;15.6.2023 18.29.26
device_1_dummy;LoRaRAW;60,99601;24,46423;-27;6;15.6.2023 18.29.28
device_1_dummy;LoRaRAW;60,99601;24,46423;-42;7;15.6.2023 18.29.30
device_1_dummy;LoRaRAW;60,99601;24,46423;-32;6;15.6.2023 18.29.31
device_1_dummy;LoRaRAW;60,99601;24,46423;-40;7;15.6.2023 18.29.33
device_1_dummy;LoRaRAW;60,99601;24,46423;-33;6;15.6.2023 18.29.35
device_1_dummy;LoRaRAW;60,99601;24,46423;-32;6;15.6.2023 18.52.50
device_1_dummy;LoRaRAW;60,99601;24,46423;-32;6;15.6.2023 18.52.52
device_1_dummy;LoRaRAW;60,99601;24,46423;-34;6;15.6.2023 18.52.54
device_1_dummy;LoRaRAW;60,99601;24,46423;-41;6;15.6.2023 18.52.55
device_1_dummy;LoRaRAW;60,99601;24,46423;-46;7;15.6.2023 18.52.57
device_1_dummy;LoRaRAW;60,99601;24,46423;-36;6;15.6.2023 18.52.59
device_1_dummy;LoRaRAW;60,99601;24,46423;-38;6;15.6.2023 18.53.01
device_1_dummy;LoRaRAW;60,99601;24,46423;-38;6;15.6.2023 18.53.03
device_1_dummy;LoRaRAW;60,99601;24,46423;-47;6;15.6.2023 18.56.37
device_1_dummy;LoRaRAW;60,99601;24,46423;-45;6;15.6.2023 18.56.39
device_1_dummy;LoRaRAW;60,99601;24,46423;-46;6;15.6.2023 18.56.41
device_1_dummy;LoRaRAW;60,99601;24,46423;-29;6;15.6.2023 18.56.43
device_1_dummy;LoRaRAW;60,99601;24,46423;-45;6;15.6.2023 18.56.45
device_1_dummy;LoRaRAW;60,99601;24,46423;-38;6;15.6.2023 18.56.46
device_1_dummy;LoRaRAW;60,99601;24,46423;-41;6;15.6.2023 18.56.48
device_1_dummy;LoRaRAW;60,99601;24,46423;-29;6;15.6.2023 18.56.50
